,,,,,,,#,#1,#2,#3,#4,#5,,,,PB,,#,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,35,24,28,,,1,32,43,32,32,31,,,,26,,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,17,21,7,49,,,2,39,48,30,27,43,,,,37,,2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,14,13,29,16,,,3,33,35,34,32,46,,,,1,,3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7,45,21,26,,,4,32,45,27,36,33,,,,8,,4,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,48,3,21,,,5,42,51,40,37,27,,,,22,,5,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,31,3,7,14,,,6,35,32,39,34,30,,,,2,,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,46,34,23,40,,,7,41,45,31,38,29,,,,35,,7,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,27,13,2,31,,,8,35,41,41,31,44,,,,23,,8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9,14,47,42,,,9,36,37,39,43,36,,,,32,,9,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,26,28,8,43,,,10,36,45,38,29,46,,,,36,,10,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,21,28,41,4,,,11,30,40,38,38,34,,,,3,,11,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,41,46,35,5,,,12,44,34,45,37,36,,,,27,,12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,45,18,13,,,13,30,37,45,42,40,,,,20,,13,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11,12,17,10,,,14,39,38,45,38,33,,,,7,,14,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,16,35,34,3,,,15,31,48,33,30,36,,,,14,,15,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48,15,36,9,,,16,40,40,38,50,39,,,,17,,16,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,14,6,4,5,,,17,47,30,35,34,38,,,,6,,17,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,27,7,32,,,18,37,40,30,30,37,,,,6,,18,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,30,37,3,,,19,32,33,45,41,42,,,,23,,19,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9,7,44,20,,,20,33,43,39,46,39,,,,25,,20,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9,6,28,38,,,21,26,33,38,35,31,,,,13,,21,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9,49,38,29,,,22,44,47,37,36,33,,,,6,,22,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,23,1,26,,,23,37,36,46,46,28,,,,33,,23,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,23,15,28,36,,,24,42,40,32,40,21,,,,10,,24,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,48,36,15,31,,,25,35,36,25,43,27,,,,12,,25,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36,48,7,11,,,26,40,37,37,30,55,,,,18,,26,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,25,12,8,21,,,27,38,29,35,42,33,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,12,15,5,27,,,28,35,40,35,35,46,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,34,33,25,35,,,29,36,24,36,35,40,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,23,5,39,7,,,30,39,33,37,35,47,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,28,29,21,,,31,42,25,40,35,43,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,47,29,39,9,,,32,46,35,47,37,49,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,43,2,20,46,,,33,30,34,39,32,34,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,26,4,45,41,,,34,31,36,30,49,31,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,30,19,3,33,,,35,34,31,39,35,38,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,36,42,30,21,,,36,32,38,41,34,35,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,36,24,5,,,37,43,36,24,32,44,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,47,35,34,42,,,38,39,29,37,47,27,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,41,39,2,33,,,39,42,41,35,43,37,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,34,4,35,47,,,40,49,32,38,49,38,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,44,35,23,5,,,41,47,30,35,47,49,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,44,33,38,30,,,42,34,40,51,37,34,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,33,11,34,12,,,43,31,42,43,29,37,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,23,46,43,,,44,37,34,37,37,30,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,30,49,10,,,45,39,35,38,38,45,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,48,5,36,15,,,46,43,27,39,30,29,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,25,8,24,39,,,47,39,35,31,36,32,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24,45,19,30,,,48,40,27,46,40,39,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,49,29,31,,,49,42,44,43,29,38,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5,38,7,20,,,50,26,29,20,25,37,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,46,8,47,30,,,51,15,27,21,30,32,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3,37,19,14,,,52,30,34,26,28,26,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,47,45,44,11,,,53,24,26,23,27,20,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,49,34,29,26,,,54,21,23,25,22,24,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36,13,30,18,,,55,26,16,19,19,23,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,41,28,23,,,56,12,17,13,12,12,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30,48,34,4,,,57,15,15,12,7,19,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,35,46,1,,,58,18,15,13,9,12,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,27,15,33,2,,,59,7,12,25,19,16,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45,29,24,14,,,60,2,3,0,1,6,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,22,25,41,35,,,61,2,5,3,8,3,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,42,26,16,28,,,62,4,8,1,3,3,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,36,38,19,4,,,63,5,3,6,3,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,23,6,8,3,,,64,4,4,3,9,4,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35,7,37,14,,,65,4,0,2,2,3,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,27,26,31,9,,,66,4,3,5,2,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,18,16,30,13,,,67,2,3,1,6,3,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,31,30,36,,,68,3,3,5,3,3,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,29,35,47,,,69,1,4,3,8,1,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,25,38,15,30,,,,2061,2061,2061,2061,2061,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,16,34,29,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,1,6,38,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
